accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,brier_score,mean_entropy,mean_confidence,mean_margin,Validation,SplitLabel,Model,n_samples
0.9705188679245284,0.803077327292054,0.7948845583007212,0.9692389000953012,0.11542934321163846,0.050611004593953395,0.08643996715545654,0.9757575392723083,0.95552659034729,BlindWell,Blind_Well_05,XGBoost,848
0.9705188679245284,0.8016067390567599,0.7948451921790382,0.9692973368983739,0.11955951523817568,0.05233039158918179,0.10722731798887253,0.9683806300163269,0.9424796104431152,BlindWell,Blind_Well_05,ProbabilisticEnsemble,848
0.4481132075471698,0.46414738940501327,0.28644596206137035,0.4834785179258831,1.7887607214941286,0.8130316059663985,1.9124635457992554,0.20048759877681732,0.02370954304933548,BlindWell,Blind_Well_05,CNN,848
0.7264150943396226,0.5388651804979147,0.5058680208912444,0.7599112696442192,1.1384063574899441,0.39946058073570356,0.4697454571723938,0.8257027268409729,0.6989946365356445,BlindWell,Blind_Well_05,CNN_BiLSTM,848
0.8136792452830188,0.593645807451245,0.549014083770042,0.8263387276092402,0.4451905771400488,0.2398093852211654,0.44775184988975525,0.843011200428009,0.7403411269187927,BlindWell,Blind_Well_05,CNN_BiLSTM_Attention,848
0.9705188679245284,0.7952794161142718,0.7894896281069649,0.969226199473229,0.1721877185509737,0.07915580875359644,0.3366696834564209,0.8900018334388733,0.8104983568191528,BlindWell,Blind_Well_05,HybridFusion,848
0.8690773067331671,0.6791176219218168,0.6045228574400422,0.8765008469818132,0.513354438649805,0.20703395075268252,0.36878907680511475,0.8585051894187927,0.7596242427825928,BlindWell,Blind_Well_06,RandomForest,802
0.8703241895261845,0.6993547165567898,0.5925184396688085,0.8825859358950228,0.6326387010062061,0.21014567233316425,0.15542465448379517,0.9401520490646362,0.8911393284797668,BlindWell,Blind_Well_06,GradientBoosting,802
0.885286783042394,0.724615641201415,0.621490614005187,0.8943693165379158,0.5399405137383947,0.19243732822046644,0.14109952747821808,0.947016716003418,0.9045135974884033,BlindWell,Blind_Well_06,XGBoost,802
0.8740648379052369,0.7098582890549715,0.5991269108906312,0.8863940281170691,0.4768256460419909,0.1972816777340446,0.27404162287712097,0.9050205945968628,0.8352498412132263,BlindWell,Blind_Well_06,ProbabilisticEnsemble,802
0.3653366583541147,0.338216966640582,0.1969837420751725,0.4442358740063289,1.7982275314500056,0.818380461810127,1.8527253866195679,0.22949811816215515,0.021556369960308075,BlindWell,Blind_Well_06,CNN,802
