Validation,Model,SplitLabel,Coverage,Accuracy,MacroF1
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.9,0.9882198952879581,0.820758418438024
BlindWell,ProbabilisticEnsemble,Blind_Well_05,0.95,0.9789081885856079,0.8056298607369671
BlindWell,ProbabilisticEnsemble,Blind_Well_05,1.0,0.9705188679245284,0.7948451921790382
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.5,1.0,0.2857142857142857
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.55,1.0,0.42857142857142855
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.6,0.9980353634577603,0.5584415584415584
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.65,0.9981884057971014,0.8272108843537415
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.7,0.9966329966329966,0.8300889733883984
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.75,0.9937106918238994,0.8233164930139971
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.8,0.9911634756995582,0.8218219507852388
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.8500000000000001,0.9889042995839112,0.8129242153813322
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.9,0.9882198952879581,0.820758418438024
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,0.95,0.9789081885856079,0.8056298607369671
BlindWell,GeoConstrainedEnsemble,Blind_Well_05,1.0,0.9705188679245284,0.7948451921790382
BlindWell,HybridFusion,Blind_Well_05,0.5,1.0,0.14285714285714285
BlindWell,HybridFusion,Blind_Well_05,0.55,1.0,0.2857142857142857
BlindWell,HybridFusion,Blind_Well_05,0.6,1.0,0.2857142857142857
BlindWell,HybridFusion,Blind_Well_05,0.65,1.0,0.8571428571428571
BlindWell,HybridFusion,Blind_Well_05,0.7,0.9966329966329966,0.8434484905073141
BlindWell,HybridFusion,Blind_Well_05,0.75,0.9937106918238994,0.8378637738243649
BlindWell,HybridFusion,Blind_Well_05,0.8,0.9882179675994109,0.8267857142857142
BlindWell,HybridFusion,Blind_Well_05,0.8500000000000001,0.984743411927878,0.8215840763010575
BlindWell,HybridFusion,Blind_Well_05,0.9,0.981675392670157,0.8134181373812254
BlindWell,HybridFusion,Blind_Well_05,0.95,0.9739454094292804,0.7925334276643545
BlindWell,HybridFusion,Blind_Well_05,1.0,0.9705188679245284,0.7894896281069649
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.5,1.0,0.14285714285714285
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.55,1.0,0.2857142857142857
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.6,1.0,0.2857142857142857
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.65,1.0,0.8571428571428571
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.7,0.9966329966329966,0.8434484905073141
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.75,0.9937106918238994,0.8378637738243649
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.8,0.9882179675994109,0.8267857142857142
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.8500000000000001,0.984743411927878,0.8215840763010575
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.9,0.981675392670157,0.8134181373812254
BlindWell,GeoConstrainedHybrid,Blind_Well_05,0.95,0.9739454094292804,0.7925334276643545
BlindWell,GeoConstrainedHybrid,Blind_Well_05,1.0,0.9705188679245284,0.7894896281069649
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.5,0.9850374064837906,0.393467247272557
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.55,0.9615384615384616,0.39832692616719617
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.6,0.941908713692946,0.40265780730897005
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.65,0.9425287356321839,0.5911460058475946
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.7,0.9395017793594306,0.6014908162424841
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.75,0.9352159468438538,0.6469259643593784
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.8,0.9314641744548287,0.6485485101871735
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.8500000000000001,0.9296187683284457,0.6851156338199731
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.9,0.9196675900277008,0.6848250762642748
BlindWell,ProbabilisticEnsemble,Blind_Well_06,0.95,0.9002624671916011,0.6472724351474625
BlindWell,ProbabilisticEnsemble,Blind_Well_06,1.0,0.8740648379052369,0.5991269108906312
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.5,0.9975062344139651,0.28185328185328185
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.55,0.995475113122172,0.28110599078341014
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.6,0.9875518672199171,0.37612329327615207
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.65,0.9655172413793104,0.3932327097505669
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.7,0.9430604982206405,0.42186107089670344
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.75,0.9401993355481728,0.6251914915524479
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.8,0.940809968847352,0.6957474873648064
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.8500000000000001,0.9369501466275659,0.712493239474087
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.9,0.9307479224376731,0.7083988880543771
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,0.95,0.916010498687664,0.6734152970678735
BlindWell,GeoConstrainedEnsemble,Blind_Well_06,1.0,0.8952618453865336,0.6413678462545752
BlindWell,HybridFusion,Blind_Well_06,0.5,0.9600997506234414,0.282591725214676
BlindWell,HybridFusion,Blind_Well_06,0.55,0.9570135746606335,0.282184655396619
BlindWell,HybridFusion,Blind_Well_06,0.6,0.9564315352697096,0.5190663639994858
BlindWell,HybridFusion,Blind_Well_06,0.65,0.946360153256705,0.5970460634344483
BlindWell,HybridFusion,Blind_Well_06,0.7,0.9448398576512456,0.5898180760132151
BlindWell,HybridFusion,Blind_Well_06,0.75,0.9302325581395349,0.5954639528647002
BlindWell,HybridFusion,Blind_Well_06,0.8,0.9252336448598131,0.6274076340228467
BlindWell,HybridFusion,Blind_Well_06,0.8500000000000001,0.9222873900293255,0.6301411005852724
BlindWell,HybridFusion,Blind_Well_06,0.9,0.9127423822714681,0.6271489098029275
BlindWell,HybridFusion,Blind_Well_06,0.95,0.8976377952755905,0.6288570054313861
BlindWell,HybridFusion,Blind_Well_06,1.0,0.8665835411471322,0.5980139626369775
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.5,0.9650872817955112,0.28302611367127495
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.55,0.9570135746606335,0.28222996515679444
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.6,0.9543568464730291,0.5189213755491592
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.65,0.946360153256705,0.5962211342574014
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.7,0.9448398576512456,0.5891864336759828
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.75,0.9352159468438538,0.605027522755014
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.8,0.9252336448598131,0.6228129493089348
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.8500000000000001,0.9237536656891495,0.6307437926019787
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.9,0.9155124653739612,0.6341001857888932
BlindWell,GeoConstrainedHybrid,Blind_Well_06,0.95,0.8989501312335958,0.6405007406177051
BlindWell,GeoConstrainedHybrid,Blind_Well_06,1.0,0.8678304239401496,0.6000551982688302
